,Unnamed: 0,OBJECTID,Agency,State,Unit ID,Unit Name,Fire_Code,Incident Indentifier,Fire Name,Protection_Type,Cause,Owner,Acres,WUI,Size Class,Size_Class_Rank,Date,Month,Day,Year,MONTHST,DAYST,YEARST,Elevation,LatNAD83,LongNAD83,created_user,created_date,last_edited_user,last_edited_date,District,GlobalID,County,Dispatch Unit ID,x,y,PresBurn,FireName,Date_cData
8299,8299,8560,FS,CA,NVHTF,Humboldt-Toiyabe National Forest,A0YC,,LARSON,,Natural,5,2,,B,2,6/29/2004 0:00,6,29,2004,6,29,2004,7129,38.80694444,-119.8241667,slevitt_nifc,10/16/2018 21:30,slevitt_nifc,10/16/2018 21:30,Central California District,005ec290-65f8-4d64-be8d-f8529b39366e,Alpine,USNVSFC,254765.7778,4299142.783,NO,,
8314,8314,8576,FS,CA,NVHTF,Humboldt-Toiyabe National Forest,A0YC,,JONES CANYON,,Natural,5,12,,C,3,8/13/2004 0:00,8,13,2004,8,13,2004,6663,38.53611111,-119.6583333,slevitt_nifc,10/16/2018 21:30,slevitt_nifc,10/16/2018 21:30,Central California District,b5002abd-e01d-41d1-8482-2a8df1803d4f,Alpine,USNVSFC,268295.9792,4268650.49,NO,,
8322,8322,8584,FS,NV,NVHTF,Humboldt-Toiyabe National Forest,A0YC,,HORSE SHOE,,Natural,14,2,,B,2,8/14/2004 0:00,8,14,2004,8,14,2004,6129,38.77611111,-119.6738889,slevitt_nifc,10/16/2018 21:30,slevitt_nifc,10/16/2018 21:30,Carson City District,2362d621-7fda-4dac-9a0c-3206e6807a7d,Douglas,USNVSFC,267717.0038,4295327.747,NO,,
8325,8325,8587,FS,NV,NVHTF,Humboldt-Toiyabe National Forest,A0YC,,WELLINGTON,,Natural,5,7,,B,2,8/21/2004 0:00,8,21,2004,8,21,2004,5906,38.66527778,-119.405,slevitt_nifc,10/16/2018 21:30,slevitt_nifc,10/16/2018 21:30,Carson City District,dc360ad0-582c-44ea-aeee-b0997de702e5,Douglas,USNVSFC,290755.5867,4282377.765,NO,,
8327,8327,8589,FS,NV,NVHTF,Humboldt-Toiyabe National Forest,A7NH,,HORIZON,,Human,5,15,,C,3,7/11/2004 0:00,7,11,2004,7,11,2004,5984,39.58527778,-119.8905556,slevitt_nifc,10/16/2018 21:30,slevitt_nifc,10/16/2018 21:30,Carson City District,0b9ab659-6283-4672-8af7-710904e1c041,Washoe,USNVSFC,251756.8645,4385720.87,NO,,
8330,8330,8592,FS,CA,NVHTF,Humboldt-Toiyabe National Forest,BDP2,,MINERAL 2,,Natural,5,2,,B,2,8/25/2004 0:00,8,25,2004,8,25,2004,8015,38.50138889,-119.6216667,slevitt_nifc,10/16/2018 21:30,slevitt_nifc,10/16/2018 21:30,Central California District,1a6aa650-20aa-4830-8b1d-dd12d0c18876,Alpine,USNVSFC,271382.5094,4264704.91,NO,,
8332,8332,8594,FS,NV,NVHTF,Humboldt-Toiyabe National Forest,A0YC,,WOODCHUCK,,Natural,5,5,,B,2,8/12/2004 0:00,8,12,2004,8,12,2004,5367,39.48972222,-119.8933333,slevitt_nifc,10/16/2018 21:30,slevitt_nifc,10/16/2018 21:30,Carson City District,0b8ffaa1-36ba-48fa-9321-a9bb79a274fb,Washoe,USNVSFC,251176.9859,4375121.077,NO,,
8527,8527,8789,BIA,NV,NVWNA,Western Nevada Agency,,NV-CCD-,CHINASPRNG,,Human,2,554,,E,5,6/27/2000 0:00,6,27,2000,6,27,2000,5561,38.8371,-119.6643,slevitt_nifc,10/16/2018 21:30,slevitt_nifc,10/16/2018 21:30,Carson City District,b995a6b3-2ad1-446b-8ecc-1a927a8b5067,Douglas,USNVSFC,268747.5441,4302072.785,NO,,
8340,8340,8602,FS,NV,NVHTF,Humboldt-Toiyabe National Forest,A7VK,NV-HTF-3498,WATERFALL,,Human,5,8758.710012,,G,7,7/14/2004 0:00,7,14,2004,7,14,2004,5955,39.15444444,-119.8236111,slevitt_nifc,10/16/2018 21:30,slevitt_nifc,10/16/2018 21:30,Carson City District,b787708e-7a18-4736-b6e2-0b09c571384d,Carson City,USNVSFC,256010.7718,4337713.471,NO,,
8347,8347,8609,FS,CA,NVHTF,Humboldt-Toiyabe National Forest,A0YC,,WESTSIDE FIRE,,Natural,5,2,,B,2,8/14/2004 0:00,8,14,2004,8,14,2004,5597,39.60916667,-120.0055556,slevitt_nifc,10/16/2018 21:30,slevitt_nifc,10/16/2018 21:30,Northern California District,e798f514-4ab9-4a87-ab23-0ce61f142176,Sierra,USNVSFC,241967.6417,4388696.97,NO,,
9348,9348,9615,BLM,CA,NVCCD,Carson City District,X866,NV-CCD-1840,SILVER  2,,Natural,1,543.4120028,,E,5,7/27/2002 0:00,7,27,2002,7,27,2002,7936,38.5952,-119.6116,slevitt_nifc,10/16/2018 21:30,slevitt_nifc,10/16/2018 21:30,Carson City District,722a7f4d-5c60-4972-94eb-6431ad09c5ea,Alpine,USNVSFC,272556.4496,4275091.882,NO,,
3267,3267,3484,BLM,NV,NVCCD,Carson City District,J675,NV-CCD-J675,COLDSPRGS,,Human,1,540,,E,5,6/28/1999 0:00,6,28,1999,6,28,1999,6083,39.4244,-117.8218,slevitt_nifc,10/16/2018 21:30,slevitt_nifc,10/16/2018 21:30,Carson City District,8000c131-20f2-4e3c-a836-b2bc29f204c7,Churchill,USNVSFC,429265.4874,4364196.59,NO,,
26216,26216,28171,BLM,NV,NVCCD,Carson City District,,,W LEE CY,,Natural,,540,,E,,8/30/1984 0:00,8,29,1984,,,,6201,39.5499,-118.3843,slevitt_nifc,2/6/2023 23:37,slevitt_nifc,2/6/2023 23:37,Carson City District,ce0202a7-39ed-4f0e-b80f-b71b1d71eee9,Churchill,USNVSFC,381062.189,4378717.448,NO,,
8528,8528,8790,BIA,NV,NVWNA,Western Nevada Agency,,NV-CCD-0962,JONES,,Human,2,2370,,F,6,6/29/2000 0:00,6,29,2000,6,29,2000,5131,39.7196,-119.3827,slevitt_nifc,10/16/2018 21:30,slevitt_nifc,10/16/2018 21:30,Carson City District,5f30a972-dfb6-4412-bfd4-225feae0d8cc,Washoe,USNVSFC,295773.0681,4399350.813,NO,,
8535,8535,8797,BIA,NV,NVWNA,Western Nevada Agency,,,WALKER,,Natural,2,2,,B,2,8/10/2001 0:00,8,10,2001,8,10,2001,4413,38.8121,-118.7799,slevitt_nifc,10/16/2018 21:30,slevitt_nifc,10/16/2018 21:30,Carson City District,c5d1fd07-5cf1-40f4-8fa2-374abc2ff0ef,Mineral,USNVSFC,345463.1407,4297430.19,NO,,
21159,21159,21559,BLM,NV,NVCCD,Carson City District,LGH9,2017-NVCCD-030842,Lucky,,Human,,529.4970317,,E,5,10/26/2017 0:00,10,26,2017,10,26,2017,5925,39.14495,-118.0621,slevitt_nifc,10/16/2018 21:30,slevitt_nifc,10/16/2018 21:30,Carson City District,98f16235-9dbc-4f4f-8d68-2cf90ac689ba,Churchill,USNVSFC,408217.762,4333399.102,NO,,
8588,8588,8850,BLM,CA,CACND,Central California District,U994,,RANCHERIA,,Natural,1,3,,B,2,6/23/2000 0:00,6,23,2000,6,23,2000,6841,38.1924,-119.2157,slevitt_nifc,10/16/2018 21:30,slevitt_nifc,10/16/2018 21:30,Central California District,68f7c6fd-e70a-4119-8d29-768d539a9f7f,Mono,USNVSFC,305965.3021,4229482.945,NO,,
8591,8591,8853,BLM,CA,CACND,Central California District,U954,CA-BBD-17159,GOLDEN,,Natural,1,2150,,F,6,8/1/2000 0:00,8,1,2000,8,1,2000,5315,38.5444,-119.5029,slevitt_nifc,10/16/2018 21:30,slevitt_nifc,10/16/2018 21:30,Central California District,a508c9e9-081c-4905-8849-d13e96408e3f,Mono,USNVSFC,281870.825,4269189.97,NO,,
8594,8594,8856,BLM,CA,CACND,Central California District,U983,,POLE,,Natural,1,5,,B,2,7/2/2001 0:00,7,2,2001,7,2,2001,7083,38.1185,-119.0529,slevitt_nifc,10/16/2018 21:30,slevitt_nifc,10/16/2018 21:30,Central California District,fc1f0d94-4549-409e-8a21-40b6d1f7403c,Mono,USCAOVCC,320042.0266,4220953.557,NO,,
24634,24634,26589,C&L,NV,NVTMFX,Truckee Meadows Fire Protection District,N216,2021-NVTMFX-030300,Petrilla,,Undetermined,,528.1,,E,,6/16/2021 0:00,6,16,2021,,,,4790,39.36888695,-119.7524257,,,,,Carson City District,6763d914-80ec-4bdc-b982-c28c539c0b98,Washoe,USNVSFC,262887.144,4361327.804,NO,,
8605,8605,8867,BLM,CA,CACND,Central California District,U842,NV-HTF-1535,SLINKARD,,Natural,1,8280.357349,,G,7,7/13/2002 0:00,7,13,2002,7,13,2002,7070,38.6471,-119.5982,slevitt_nifc,10/16/2018 21:30,slevitt_nifc,10/16/2018 21:30,Central California District,6ebe94d7-679c-42b9-a163-a910ebb6d387,Mono,USNVSFC,273886.7863,4280819.101,NO,,
